Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W
0.0037,0,1.85,1.01,0,1.85,0.8623,0,1.85,0.70412,0,1.85,0.5488,0,1.85,0.39277,0,1.85,0.26848
0.00287,0.4,1.86,1.01,0.4,1.85,0.86102,0.4,1.85,0.6985,0.4,1.85,0.55321,0.4,1.85,0.39437,0.4,1.85,0.26948
0.00234,0.8,1.85,1.02,0.8,1.85,0.86155,0.8,1.85,0.6982,0.8,1.85,0.5505,0.8,1.85,0.39542,0.8,1.85,0.26978
0.00185,1.2,1.85,1.01,1.2,1.85,0.86075,1.2,1.85,0.6997,1.2,1.85,0.54789,1.2,1.85,0.3913,1.2,1.85,0.26888
0.0013,1.6,1.85,1.01,1.6,1.85,0.85879,1.6,1.85,0.7,1.6,1.85,0.55055,1.6,1.85,0.392,1.6,1.85,0.26981
0.000905,2,1.85,1.01,2,1.85,0.85812,2,1.85,0.7049,2,1.85,0.54861,2,1.85,0.3946,2,1.85,0.26841
,2.4,1.85,1.01,2.4,1.85,0.86059,2.4,1.85,0.7042,2.4,1.85,0.54855,2.4,1.85,0.3915,2.4,1.85,0.26913
,2.8,1.85,1,2.8,1.85,0.85162,2.8,1.85,0.69924,2.8,1.85,0.54721,2.8,1.85,0.39147,2.8,1.85,0.26801
,3.2,1.85,1,3.2,1.85,0.86053,3.2,1.85,0.6985,3.2,1.85,0.5453,3.2,1.85,0.3918,3.2,1.85,0.26931
,3.6,1.85,1,3.6,1.85,0.85272,3.6,1.85,0.6979,3.6,1.85,0.54743,3.6,1.85,0.3913,3.6,1.85,0.27061
,4,1.85,1,4,1.85,0.85963,4,1.85,0.6997,4,1.85,0.54691,4,1.85,0.3902,4,1.85,0.26801
,4.4,1.85,1,4.4,1.85,0.85552,4.4,1.85,0.6955,4.4,1.85,0.5487,4.4,1.85,0.3876,4.4,1.85,0.26653
,4.8,1.84,0.99,4.8,1.85,0.85392,4.8,1.85,0.69716,4.8,1.85,0.54443,4.8,1.85,0.3909,4.8,1.85,0.26993
,5.2,1.84,0.99,5.2,1.85,0.85373,5.2,1.85,0.70028,5.2,1.85,0.54391,5.2,1.85,0.3885,5.2,1.85,0.26921
,5.6,1.84,0.99,5.6,1.85,0.84766,5.6,1.85,0.69413,5.6,1.85,0.55034,5.6,1.85,0.3897,5.6,1.85,0.26732
,6,1.85,0.98,6,1.85,0.84449,6,1.85,0.6974,6,1.85,0.5467,6,1.85,0.389,6,1.85,0.26873
,6.4,1.84,0.98,6.4,1.85,0.83453,6.4,1.85,0.69522,6.4,1.85,0.54591,6.4,1.85,0.3912,6.4,1.85,0.26621
,6.8,1.84,0.97,6.8,1.85,0.83972,6.8,1.85,0.69121,6.8,1.85,0.54101,6.8,1.85,0.38915,6.8,1.85,0.26873
,7.2,1.83,0.96,7.2,1.85,0.83227,7.2,1.85,0.68511,7.2,1.85,0.54391,7.2,1.85,0.38699,7.2,1.85,0.26741
,7.6,1.83,0.95,7.6,1.85,0.81785,7.6,1.85,0.68342,7.6,1.85,0.53699,7.6,1.85,0.385,7.6,1.85,0.26433
,8,1.83,0.95,8,1.85,0.81582,8,1.85,0.67873,8,1.85,0.53791,8,1.85,0.3856,8,1.85,0.26355
,8.4,1.83,0.94,8.4,1.85,0.81557,8.4,1.85,0.67373,8.4,1.85,0.53123,8.4,1.85,0.3816,8.4,1.85,0.26423
,8.8,1.83,0.97,8.8,1.85,0.82552,8.8,1.85,0.66566,8.8,1.85,0.53201,8.8,1.85,0.3812,8.8,1.85,0.26559
,9.2,1.84,0.98,9.2,1.85,0.84453,9.2,1.85,0.67884,9.2,1.85,0.5349,9.2,1.85,0.3832,9.2,1.85,0.26905
,9.6,1.85,1.01,9.6,1.85,0.86129,9.6,1.85,0.6854,9.6,1.85,0.54463,9.6,1.85,0.3857,9.6,1.85,0.26881
,10,1.85,1.02,10,1.85,0.87522,10,1.85,0.70449,10,1.85,0.54993,10,1.85,0.3932,10,1.85,0.27101
,10.4,1.85,1.04,10.4,1.85,0.87829,10.4,1.85,0.70796,10.4,1.85,0.55501,10.4,1.85,0.392,10.4,1.85,0.27255
,10.8,1.85,1.04,10.8,1.85,0.88422,10.8,1.85,0.7116,10.8,1.85,0.55862,10.8,1.85,0.3958,10.8,1.85,0.27243
,11.2,1.85,1.03,11.2,1.85,0.8793,11.2,1.85,0.71395,11.2,1.85,0.56323,11.2,1.85,0.3977,11.2,1.85,0.27251
,11.6,1.85,1.04,11.6,1.85,0.88272,11.6,1.85,0.72014,11.6,1.85,0.56402,11.6,1.85,0.39702,11.6,1.85,0.27143
,12,1.84,1.03,12,1.85,0.88421,12,1.85,0.71768,12,1.85,0.56101,12,1.85,0.3995,12,1.85,0.27238
,12.4,1.84,1.03,12.4,1.85,0.88457,12.4,1.85,0.71744,12.4,1.85,0.5616,12.4,1.85,0.3941,12.4,1.85,0.26985
,12.8,1.84,1.03,12.8,1.85,0.88062,12.8,1.85,0.71728,12.8,1.85,0.55988,12.8,1.85,0.3947,12.8,1.85,0.26998
,13.2,1.83,1.02,13.2,1.85,0.86921,13.2,1.85,0.70788,13.2,1.85,0.5567,13.2,1.85,0.395,13.2,1.85,0.26931
,13.6,1.83,1.01,13.6,1.85,0.86321,13.6,1.85,0.70768,13.6,1.85,0.55472,13.6,1.85,0.3907,13.6,1.85,0.26774
,14,1.82,1.01,14,1.85,0.86321,14,1.85,0.7074,14,1.85,0.55371,14,1.85,0.3913,14,1.85,0.26761
,14.4,1.82,1,14.4,1.85,0.85772,14.4,1.85,0.7055,14.4,1.85,0.55681,14.4,1.85,0.3891,14.4,1.85,0.26815
,14.8,1.82,1.01,14.8,1.85,0.86472,14.8,1.85,0.7028,14.8,1.85,0.55513,14.8,1.85,0.3885,14.8,1.85,0.2661
,15.2,1.81,1,15.2,1.85,0.86362,15.2,1.85,0.6979,15.2,1.85,0.55171,15.2,1.85,0.3893,15.2,1.85,0.26716
,15.6,1.81,1,15.6,1.85,0.86343,15.6,1.85,0.6994,15.6,1.85,0.54961,15.6,1.85,0.3891,15.6,1.85,0.2672
,16,1.8,1,16,1.85,0.86162,16,1.85,0.6966,16,1.85,0.54901,16,1.85,0.3887,16,1.85,0.26761
,16.4,1.79,0.99,16.4,1.85,0.85594,16.4,1.85,0.7054,16.4,1.85,0.55096,16.4,1.85,0.388,16.4,1.85,0.26766
,16.8,1.78,0.99,16.8,1.85,0.84972,16.8,1.85,0.7003,16.8,1.85,0.5493,16.8,1.85,0.389,16.8,1.85,0.26526
,17.2,1.78,0.99,17.2,1.85,0.84944,17.2,1.85,0.6969,17.2,1.85,0.55281,17.2,1.85,0.3878,17.2,1.85,0.26483
,17.6,1.76,1,17.6,1.85,0.84343,17.6,1.85,0.6939,17.6,1.85,0.54723,17.6,1.85,0.3835,17.6,1.85,0.26369
,18,1.76,1,18,1.85,0.85106,18,1.85,0.6956,18,1.85,0.54431,18,1.85,0.3872,18,1.85,0.26667
,18.4,1.75,1,18.4,1.85,0.84759,18.4,1.85,0.6973,18.4,1.85,0.54481,18.4,1.85,0.38803,18.4,1.85,0.26821
,18.8,1.73,1.01,18.8,1.85,0.85551,18.8,1.85,0.7004,18.8,1.85,0.54591,18.8,1.85,0.3875,18.8,1.85,0.26771
,19.2,1.73,1,19.2,1.85,0.86772,19.2,1.85,0.7056,19.2,1.85,0.55234,19.2,1.85,0.3923,19.2,1.85,0.27043
,19.6,1.72,1.02,19.6,1.85,0.87272,19.6,1.85,0.7066,19.6,1.85,0.55032,19.6,1.85,0.394,19.6,1.85,0.27061
,20,1.71,1.01,20,1.85,0.86958,20,1.85,0.71105,20,1.85,0.55762,20,1.85,0.3927,20,1.85,0.27345
